fiscal_year,department,course_number,course_name,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,d,p_plus,p,f,w,wf,i,gpa_count,non_gpa_count,unknown_count,total_count,source_sheet,source_row,notes,unlabeled_18
2025,Science,SCI135,Methods in Scientific Inquiry,0,111,36,20,15,15,6,7,2,0,0,0,0,3,0,0,212,3,0,215,FY25,90,,
2025,Science,SCI201,Adv. Chemistry--Structure and Properties,0,10,12,11,19,8,3,9,1,3,0,0,0,0,0,0,76,0,0,76,FY25,91,,
2025,Science,SCI202,Advanced Chemistry--Chemical Reactions,0,27,17,3,8,2,3,2,5,0,0,0,0,0,0,0,67,0,0,67,FY25,92,,
2025,Science,SCI205,The Physical Chemistry of Materials,0,3,2,3,3,2,0,0,0,0,0,1,0,0,0,0,13,1,0,14,FY25,93,,
2025,Science,SCI215,Organic Chemistry I,0,34,20,9,11,6,3,6,2,0,0,0,0,1,0,0,91,1,0,92,FY25,94,,
2025,Science,SCI222,Organic Chemistry II,0,29,15,5,12,5,1,2,0,1,0,0,0,1,0,0,70,1,0,71,FY25,95,,
2025,Science,SCI235,Biochemistry,0,33,29,7,5,8,1,4,1,0,0,0,0,1,0,0,88,1,0,89,FY25,96,,
2025,Science,SCI245,Environmental Chemistry,0,28,5,2,7,2,0,0,0,0,0,1,0,0,0,0,44,1,0,45,FY25,97,,
2025,Science,SCI316,Electronics,0,15,14,2,9,2,5,1,0,0,0,0,0,0,0,0,48,0,0,48,FY25,98,,
2025,Science,SCI402,Physics: Sound and Light,0,33,10,1,4,1,1,1,0,0,0,1,0,1,0,0,51,2,0,53,FY25,99,,
2025,Science,SCI411,Physics: Calculus-based Mechanics,0,56,16,11,8,0,1,0,0,0,0,0,0,0,0,0,92,0,0,92,FY25,100,,
2025,Science,SCI412,Physics: Calculus-based Elec & Magnetism,0,50,13,3,4,2,0,0,0,0,0,0,0,0,0,0,72,0,0,72,FY25,101,,
2025,Science,SCI425,Planetary Science,0,3,13,9,9,1,3,0,0,0,0,0,0,0,0,0,38,0,0,38,FY25,102,,
2025,Science,SCI445,Modern Physics,0,3,9,8,8,6,4,5,1,0,0,0,0,0,0,0,44,0,0,44,FY25,103,,
2025,Science,SCI456,Introduction to Engineering,0,46,10,3,7,0,2,3,0,0,0,0,0,0,0,0,71,0,0,71,FY25,104,,
2025,Science,SCI465,Biophysics,0,3,11,3,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,FY25,105,,
2025,Science,SCI505,Computational Science,0,19,11,10,3,2,1,0,0,3,0,0,0,0,0,0,49,0,0,49,FY25,106,,
2025,Science,SCI601,Biology: Evolution & Environment,0,24,14,1,3,2,1,0,2,1,0,0,0,0,0,0,48,0,1,49,FY25,107,Includes counts in an unlabeled workbook column; excluded from GPA charts.,1
2025,Science,SCI602,Biology: Evolution & Environment,0,19,3,2,3,1,0,1,0,0,0,0,0,0,0,0,29,0,0,29,FY25,108,,
2025,Science,SCI603,Biology: Molecular & Cellular,0,80,21,10,12,5,3,1,0,0,0,0,0,1,0,0,132,1,0,133,FY25,109,,
2025,Science,SCI604,Biology: Molecular & Cellular,0,26,2,1,2,1,0,0,0,0,0,0,0,1,0,0,32,1,0,33,FY25,110,,
2025,Science,SCI605,"Evolution, Biodiversity, and Ecology",0,8,2,0,1,0,1,1,0,0,0,0,0,0,0,0,13,0,0,13,FY25,111,,
2025,Science,SCI616,Cancer Biology,0,42,0,0,4,0,0,3,0,1,0,0,0,0,0,0,50,0,0,50,FY25,112,,
2025,Science,SCI626,Environmental Microbiology,0,26,6,1,2,1,1,1,0,0,0,0,0,0,0,0,38,0,0,38,FY25,113,,
2025,Science,SCI636,Pathophysiology,0,40,6,3,4,1,2,1,2,1,0,0,0,0,0,1,60,1,0,61,FY25,114,,
2025,Science,SCI645,Biology of Behavior,0,26,1,4,2,2,2,1,1,1,0,0,0,0,0,0,40,0,0,40,FY25,115,,
2025,Science,SCI811,Independent Study in Chemistry,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,FY25,116,,
2025,Science,SCI812,Independent Study in Chemistry,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,FY25,117,,
2025,Science,SCI821,Independent Study in Physics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,FY25,118,,
2025,Science,SCI822,Independent Study in Physics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,FY25,119,,
2025,Science,SCI831,Independent Study in Biology,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,2,8,FY25,120,Includes counts in an unlabeled workbook column; excluded from GPA charts.,2
2025,Science,SCI832,Independent Study in Biology,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8,FY25,121,,
2025,Wellness,WEL110,Foundations of Healthy Living,0,105,0,0,73,0,0,33,0,0,0,0,0,1,0,0,211,1,0,212,FY25,122,,
2025,Wellness,WEL231,Outdoor and Indoor Games,0,80,0,0,3,0,0,1,0,0,0,0,0,0,0,0,84,0,0,84,FY25,123,,
2025,Wellness,WEL251,Stress Management for Life,0,10,0,0,4,0,0,3,0,0,0,0,0,0,0,0,17,0,0,17,FY25,124,,
2025,Wellness,WEL312,Dance,0,25,0,0,8,0,0,5,0,0,0,0,0,1,0,0,38,1,0,39,FY25,125,,
2025,Wellness,WEL410,Psychology of Sport,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,FY25,126,,
2025,Wellness,WEL525,Movement and Relaxation,0,13,0,0,9,0,0,4,0,0,0,0,0,0,0,0,26,0,0,26,FY25,127,,
