fiscal_year,department,course_number,course_name,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,d,p_plus,p,f,w,wf,i,gpa_count,non_gpa_count,unknown_count,total_count,source_sheet,source_row,notes,unlabeled_18
2024,Science,SCI315,Microcontroller Applications (Science),0,31,8,4,2,2,0,0,0,0,0,0,0,0,0,0,47,0,0,47,FY24,96,,
2024,Science,SCI402,Physics: Sound and Light,0,24,10,7,11,2,2,1,0,0,0,0,0,0,0,0,57,0,0,57,FY24,97,,
2024,Science,SCI411,Physics: Calculus-based Mechanics,0,33,21,9,1,1,0,0,0,0,0,0,0,1,0,0,65,1,0,66,FY24,98,,
2024,Science,SCI412,Physics: Calculus-based Elec & Magnetism,0,30,6,1,2,0,0,0,0,0,0,1,0,0,0,0,39,1,0,40,FY24,99,,
2024,Science,SCI425,Planetary Science,0,3,7,2,1,3,1,0,1,0,0,0,0,0,0,0,18,0,0,18,FY24,100,,
2024,Science,SCI445,Modern Physics,0,24,17,1,3,0,0,0,0,0,0,0,0,1,0,0,45,1,0,46,FY24,101,,
2024,Science,SCI455,Engineering,0,77,16,6,3,2,1,0,0,0,0,0,0,0,0,0,105,0,0,105,FY24,102,,
2024,Science,SCI505,Computational Science,0,16,6,2,2,0,3,0,5,0,0,4,0,0,0,0,34,4,0,38,FY24,103,,
2024,Science,SCI600,Advanced Biological Systems,0,190,70,24,21,7,2,3,6,0,0,0,0,3,0,1,323,4,0,327,FY24,104,,
2024,Science,SCI616,Cancer Biology,0,17,0,0,3,2,0,1,0,0,0,0,0,0,0,0,23,0,0,23,FY24,105,,
2024,Science,SCI626,Environmental Microbiology,0,16,3,0,1,0,0,1,0,0,0,0,0,0,0,0,21,0,0,21,FY24,106,,
2024,Science,SCI636,Pathophysiology,0,22,4,2,2,1,0,0,0,0,0,0,0,1,0,0,31,1,0,32,FY24,107,,
2024,Science,SCI645,Biology of Behavior,0,23,4,3,1,3,4,2,2,0,0,0,0,1,0,1,42,2,0,44,FY24,108,,
